threshold,accuracy,balanced_accuracy,macro_f1,exit_precision,exit_recall,exit_f1,presence_precision,presence_recall,presence_f1,tn,fp,fn,tp,model,fold,outer_val_season
0.78,0.8227571115973742,0.823865925388768,0.7255255255255255,0.4262295081967213,0.8253968253968254,0.5621621621621622,0.9671641791044776,0.8223350253807107,0.8888888888888888,104,22,140,648,Logistic_ModelA,1,2020-2021
0.79,0.8150984682713348,0.8227580372250423,0.718728774826056,0.4150197628458498,0.8333333333333334,0.554089709762533,0.9682299546142209,0.8121827411167513,0.883367839889579,105,21,148,640,Logistic_ModelA,1,2020-2021
0.8,0.8041575492341356,0.8230803319635807,0.7098952930641629,0.40074906367041196,0.8492063492063492,0.544529262086514,0.9706336939721792,0.7969543147208121,0.8752613240418119,107,19,160,628,Logistic_ModelA,1,2020-2021
0.81,0.7964989059080962,0.8253061800016115,0.7044929914339748,0.3920863309352518,0.8650793650793651,0.5396039603960396,0.9732704402515723,0.7855329949238579,0.8693820224719101,109,17,169,619,Logistic_ModelA,1,2020-2021
0.82,0.7811816192560175,0.8197566674724035,0.6908820346320346,0.3741496598639456,0.873015873015873,0.5238095238095238,0.9741935483870968,0.766497461928934,0.8579545454545454,110,16,184,604,Logistic_ModelA,1,2020-2021
0.83,0.7680525164113785,0.8154761904761905,0.6797201964971669,0.36038961038961037,0.8809523809523809,0.511520737327189,0.9752475247524752,0.75,0.8479196556671449,111,15,197,591,Logistic_ModelA,1,2020-2021
0.84,0.7582056892778993,0.8097655305777134,0.6707809405839738,0.3501577287066246,0.8809523809523809,0.5011286681715575,0.9748743718592965,0.7385786802030457,0.8404332129963898,111,15,206,582,Logistic_ModelA,1,2020-2021
0.85,0.7516411378555798,0.8059584239787285,0.6649100167805017,0.34365325077399383,0.8809523809523809,0.49443207126948774,0.9746192893401016,0.7309644670050761,0.8353879622915156,111,15,212,576,Logistic_ModelA,1,2020-2021
0.86,0.7407002188183808,0.8029469825155104,0.6562639343559927,0.33432835820895523,0.8888888888888888,0.48590021691973967,0.9758203799654577,0.7170050761421319,0.8266276517922458,112,14,223,565,Logistic_ModelA,1,2020-2021
0.87,0.7275711159737418,0.7986665055192974,0.6458769984829035,0.3237822349570201,0.8968253968253969,0.47578947368421054,0.9769911504424779,0.700507614213198,0.8159645232815964,113,13,236,552,Logistic_ModelA,1,2020-2021
0.88,0.7166301969365426,0.7956550640560793,0.637516518213292,0.3157894736842105,0.9047619047619048,0.4681724845995893,0.9783001808318263,0.6865482233502538,0.8068605518269948,114,12,247,541,Logistic_ModelA,1,2020-2021
0.89,0.7078774617067833,0.7905789219240995,0.630152992793653,0.3089430894308943,0.9047619047619048,0.46060606060606063,0.9779816513761468,0.6763959390862944,0.7996999249812453,114,12,255,533,Logistic_ModelA,1,2020-2021
