number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_learning_rate,params_random_strength,user_attrs_inner_mae_std,user_attrs_inner_maes,state,outer_fold,outer_val_season
6,2.402814932433653,2026-08-10 05:52:20.388061,2026-08-10 05:52:54.114079,0 days 00:00:33.726018,0.5785719406900149,7,4.248498630544682,0.018737456446894146,0.23137910403412185,,,PRUNED,3,2022-2023
7,2.392096028239262,2026-08-10 05:52:54.117079,2026-08-10 05:53:37.369289,0 days 00:00:43.252210,1.065966756465315,5,10.736358767647047,0.05885640348474968,0.7302621598117415,0.04994722928802575,"[2.3872781712352045, 2.3334748022212324, 2.45553511126135]",COMPLETE,3,2022-2023
8,2.3979206120880985,2026-08-10 05:53:37.373299,2026-08-10 05:54:01.162348,0 days 00:00:23.789049,0.6055811114818497,4,0.018538639059657636,0.02334137360027704,0.09214163543054199,,,PRUNED,3,2022-2023
9,2.403693198020587,2026-08-10 05:54:01.164358,2026-08-10 05:54:09.755331,0 days 00:00:08.590973,0.3149482458341786,6,15.803641842561598,0.09071594101754456,0.09696995604811115,,,PRUNED,3,2022-2023
10,2.399951308319853,2026-08-10 05:54:09.758333,2026-08-10 05:56:22.444317,0 days 00:02:12.685984,0.20092550893029948,4,0.13012587330894432,0.010041833768324723,3.7336141374627014,0.057949267873219974,"[2.3844849765397464, 2.3379867632968923, 2.47738218512292]",COMPLETE,3,2022-2023
11,2.3957128208965224,2026-08-10 05:56:22.448304,2026-08-10 05:56:46.094441,0 days 00:00:23.646137,1.1062893919359307,5,16.793939903032904,0.144416115484065,0.0014640940072831639,0.05549383840505507,"[2.3909663025543892, 2.3302447057145415, 2.4659274544206373]",COMPLETE,3,2022-2023
12,2.370835858307524,2026-08-10 05:56:46.097441,2026-08-10 05:57:01.984858,0 days 00:00:15.887417,1.3857514584016397,5,4.467805506440188,0.1474966612094829,2.8263353652803644,,,PRUNED,3,2022-2023
13,2.4039610598390038,2026-08-10 05:57:01.988871,2026-08-10 05:57:21.238602,0 days 00:00:19.249731,1.9540336920801462,4,6.80470398510035,0.04662189784711159,0.031850457262004604,,,PRUNED,3,2022-2023
14,2.40506562640477,2026-08-10 05:57:21.241595,2026-08-10 05:57:28.890373,0 days 00:00:07.648778,0.7855168157786102,5,0.7862288110523609,0.1060579292278418,0.6377184682696805,,,PRUNED,3,2022-2023
0,2.364980746365083,2026-08-10 05:57:40.745296,2026-08-10 05:58:42.355257,0 days 00:01:01.609961,1.1044171437377166,7,6.8746962077143765,0.04299319633203141,0.28691542320039487,0.0635731617065604,"[2.335681592391832, 2.4532407167509533, 2.306019929952465]",COMPLETE,4,2023-2024
